city,date,co,no,no2,o3,so2,pm2_5,pm10,nh3
Delhi,17-08-2021,9185.79,175.24,87.05,0,55.31,543.5,794.08,18.75
Delhi,18-08-2021,6462.1,73.31,109.67,0,54.84,434.33,616.09,16.47
Delhi,19-08-2021,4859.92,20.12,115.16,0.17,47.21,349.96,467.79,14.95
Delhi,20-08-2021,1361.85,3.91,39.76,0.75,34.81,64.09,78.95,7.6
Delhi,21-08-2021,794.41,3.52,33.59,1.32,43.39,29.67,35.09,3.45
Delhi,22-08-2021,867.84,0.16,29.82,13.77,31.95,44.77,50.01,3.48
Delhi,23-08-2021,2002.72,19.89,38.04,0,23.6,91.31,121.58,7.22
Delhi,24-08-2021,4219.06,86.73,49.35,0,34.33,211.74,284,10.89
Delhi,25-08-2021,3738.4,65.27,40.1,0,29.8,171.72,225.94,8.61
Delhi,26-08-2021,854.49,0.19,37.01,17.52,18.12,43.47,109,17.73
Delhi,27-08-2021,1001.36,2.6,45.24,10.91,17.88,50.52,111.22,15.2
Delhi,28-08-2021,1054.76,0.47,38.04,10.55,20.98,70.45,183.68,16.47
Delhi,29-08-2021,1001.36,0.73,35.99,6.44,22.17,67.69,93.7,6.46
Delhi,30-08-2021,934.6,0.01,28.79,31.11,26.23,105.15,115.57,6.4
Delhi,31-08-2021,961.3,1.01,40.78,6.8,40.53,52.54,70.7,7.09
Delhi,01-09-2021,834.47,1.02,40.78,6.35,48.64,50.42,57.99,4.37
Delhi,02-09-2021,2429.96,21.68,55.52,0,35.29,125.83,176.59,9.25
Delhi,03-09-2021,2590.18,18.77,59.63,0.02,37.19,151.81,187.67,9.12
Delhi,04-09-2021,2269.75,33.98,45.24,0,44.35,109.39,135,8.49
Delhi,05-09-2021,4486.08,92.98,39.07,0,29.09,236.58,304.56,10.51
Delhi,06-09-2021,3391.27,20.34,70.6,0.02,27.42,207.91,251.22,7.98
Delhi,07-09-2021,3044.13,24.81,61.01,0.02,30.28,183.38,235.54,10.13
Delhi,08-09-2021,974.66,1.34,37.01,5.23,44.82,33.85,46.66,6.59
Delhi,09-09-2021,694.28,0.01,34.96,28.25,44.35,36.15,44.18,5.57
Delhi,10-09-2021,1054.76,0,39.41,37.55,45.3,85.75,99.02,6.02
Delhi,11-09-2021,867.84,0.88,37.36,6.88,42.44,40.12,44.95,3.29
Delhi,12-09-2021,894.55,0.29,31.87,11.36,31.47,57.83,65.4,4.18
Delhi,13-09-2021,1815.8,3.13,45.93,1.34,30.99,117.44,150.04,6.52
Delhi,14-09-2021,1895.9,6.31,51.41,0.55,38.15,126.43,164.62,8.49
Delhi,15-09-2021,5874.63,103.71,50.72,0,43.39,342.72,465.65,12.29
Delhi,16-09-2021,4859.92,58.12,58.95,0,43.39,324.19,425.7,8.36
Delhi,17-09-2021,1615.52,0,45.24,40.77,45.78,126.99,151.43,11.53
Delhi,18-09-2021,694.28,1.27,40.44,5.81,51.98,31.41,43.4,7.47
Delhi,19-09-2021,1041.41,0,32.9,36.12,25.27,69.08,87.24,6.9
Delhi,20-09-2021,1895.9,11.4,49.35,0.07,24.8,132.62,168.67,7.85
Delhi,21-09-2021,1562.12,0.71,53.47,8.32,28.85,102.18,132.14,8.61
Delhi,22-09-2021,1642.23,0,45.24,32.54,32.42,176.59,198.05,7.09
Delhi,23-09-2021,1628.88,9.28,40.1,0.12,34.33,93.85,115.04,8.23
Delhi,24-09-2021,2002.72,11.51,52.09,0.08,41.01,130.39,173.7,8.99
Delhi,25-09-2021,1922.61,11.96,49.35,0.11,40.05,106.58,148.02,8.61
Delhi,26-09-2021,1922.61,0.19,50.72,14.13,31.47,143.95,177.95,7.79
Delhi,27-09-2021,1281.74,0.03,35.3,23.25,28.61,77.16,98.36,6.84
Delhi,28-09-2021,2590.18,16.09,67.17,0.18,35.76,157.79,213.67,9.5
Delhi,29-09-2021,1001.36,0.33,36.33,11.98,31.47,50.86,67.15,6.97
Delhi,30-09-2021,1255.04,0,40.44,53.64,35.29,108.47,128.03,7.35
Delhi,01-10-2021,6088.26,94.77,71.29,0,41.96,384.97,475.31,12.16
Delhi,02-10-2021,2429.96,12.85,74.71,0.18,27.18,153.82,192.01,10.01
Delhi,03-10-2021,1335.14,2.26,45.24,3.13,22.41,60.58,87.6,12.03
Delhi,04-10-2021,2136.23,34.42,43.87,0,25.99,89.92,142.98,17.99
Delhi,05-10-2021,11749.27,321.87,67.17,0,116.35,695.08,948.96,68.9
Delhi,06-10-2021,8331.3,36.21,222.09,0,110.63,834.89,984.12,30.65
Delhi,07-10-2021,3337.86,41.13,56.89,0,34.81,220.89,299.56,13.17
